LoanSK,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status
1180,1253,23324.01,Auto,6.8,60,Closed
1181,1254,26821.69,Mortgage,5.94,60,Closed
1182,1255,49122,Auto,9.22,60,Approved
1183,1256,3144.97,Auto,4.86,60,Rejected
1184,1257,32747.12,Auto,6.83,12,Approved
1185,1258,46221.39,Personal,7.37,36,Approved
1186,1259,12574.36,Personal,3.88,12,Approved
1187,1260,11389.35,Personal,8.93,24,Closed
1188,1261,18786.9,Personal,4.43,24,Closed
1189,1262,4629.85,Personal,6.74,24,Closed
1190,1263,28453.95,Auto,6.54,36,Closed
1191,1264,32627.49,Mortgage,4.79,12,Rejected
1192,1265,41174.45,Auto,2.65,24,Closed
1193,1266,4242.63,Mortgage,6.33,12,Rejected
1194,1268,39426.13,Mortgage,4.41,36,Closed
1195,1269,38646.79,Auto,5.44,24,Closed
1196,1270,4608.39,Auto,7.1,12,Closed
1197,1271,1558.38,Auto,7.57,48,Rejected
1198,1272,39383.06,Personal,4.84,36,Approved
1199,1273,7760.9,Auto,2.08,24,Approved
1200,1274,29311.69,Auto,8.13,36,Approved
1201,1275,5618.06,Personal,7.02,12,Closed
1202,1276,15480.05,Auto,8.21,48,Approved
1203,1279,33963.5,Personal,3.36,48,Rejected
1204,1280,7629.97,Personal,3.61,60,Approved
1205,1281,3907.19,Auto,5.83,12,Rejected
1206,1282,23850.43,Mortgage,9.98,48,Closed
1207,1283,10581.85,Auto,2.82,12,Rejected
1208,1284,1398.96,Mortgage,8.55,60,Approved
1209,1285,13949.36,Auto,1.02,24,Approved
1210,1286,11546.94,Auto,3.14,60,Approved
1211,1287,34563,Mortgage,4.12,36,Approved
1212,1288,43182.29,Personal,6.84,12,Rejected
1213,1289,12644.31,Mortgage,2.02,24,Rejected
1214,1290,11929.34,Mortgage,2.16,48,Closed
1215,1291,20000.55,Personal,2.32,24,Rejected
1216,1292,9455.32,Auto,6.96,60,Closed
1217,1293,47393.94,Mortgage,2.03,48,Approved
1218,1294,12932.8,Mortgage,4.58,60,Closed
1219,1295,5573.13,Mortgage,2.41,36,Rejected
1220,1296,28287.55,Auto,4.44,48,Approved
1221,1297,27343.36,Mortgage,7.43,12,Rejected
1222,1298,31963.79,Auto,3.5,48,Approved
1223,1299,48368.43,Mortgage,6.56,24,Closed
1224,1300,16850.87,Mortgage,3.24,24,Rejected
1225,1301,18619,Personal,7.64,48,Approved
1226,1302,17514.98,Mortgage,7.99,24,Rejected
1227,1303,31802.85,Personal,3.79,60,Approved
1228,1304,30599.38,Personal,1.21,12,Rejected
1229,1305,26911.55,Auto,2.16,36,Closed
1230,1306,18851.97,Mortgage,5.42,60,Rejected
1231,1307,21954.83,Mortgage,4.44,36,Rejected
1232,1308,39832.85,Personal,4.11,12,Approved
1233,1309,30853.09,Personal,6.21,48,Rejected
1234,1310,36099.08,Auto,2.45,24,Closed
1235,1311,14559.76,Auto,5.11,48,Rejected
1236,1312,45663.11,Personal,2.83,48,Approved
1237,1313,2722.97,Mortgage,9.83,12,Rejected
1238,1314,30189.15,Auto,1.44,60,Closed
1239,1315,40805.15,Mortgage,1.14,12,Rejected
1240,1316,43447.99,Personal,6.08,48,Approved
1241,1317,16658.03,Personal,1.56,36,Rejected
1242,1318,23527.79,Personal,8.3,12,Closed
1243,1319,2709.57,Auto,8.38,60,Rejected
1244,1320,39698.51,Auto,4.89,12,Approved
1245,1321,7104.03,Personal,8.55,24,Closed
1246,1322,21975.99,Mortgage,7.66,60,Rejected
1247,1323,49549.64,Auto,2.22,24,Closed
1248,1324,45969.12,Personal,8.74,36,Approved
1249,1325,17171.15,Personal,8.87,48,Closed
1250,1326,11970.15,Mortgage,3.9,24,Closed
1251,1327,13332.93,Auto,7.97,24,Closed
1252,1328,34554.5,Auto,9.08,48,Approved
1253,1329,36564.07,Personal,7.71,36,Closed
1254,1330,11608.16,Personal,1.85,48,Rejected
1255,1331,12759.51,Auto,1.85,24,Closed
1256,1332,16846.07,Personal,9.84,12,Rejected
1257,1333,22225.72,Mortgage,5.87,24,Closed
1258,1334,45956.07,Personal,6.8,48,Rejected
1259,1335,2298.88,Mortgage,9.21,60,Approved
1260,1336,32271.67,Auto,1.07,60,Approved
1261,1337,43223.18,Personal,4.84,48,Closed
1262,1338,36444.82,Auto,6.1,60,Rejected
1263,1339,11620.36,Auto,1.02,48,Closed
1264,1340,24360.59,Mortgage,6.62,12,Closed
1265,1341,45603.75,Personal,8.66,48,Closed
1266,1342,6670.16,Auto,1.49,12,Rejected
1267,1344,8037.56,Mortgage,9.8,36,Closed
1268,1345,7978.46,Mortgage,9.28,60,Approved
1269,1346,40830.11,Auto,5.83,48,Approved
1270,1348,2858.01,Mortgage,7.94,36,Rejected
1271,1349,9246.96,Personal,8.36,60,Rejected
1272,1350,47477.86,Mortgage,4.58,36,Closed
1273,1351,14687.92,Auto,5.28,24,Rejected
1274,1352,1599.74,Personal,3.15,48,Closed
1275,1353,13448.06,Mortgage,1.46,48,Approved
1276,1354,37036.2,Auto,6.38,36,Closed
1277,1355,45906.22,Auto,3.79,12,Rejected
1278,1356,8602.67,Mortgage,5.52,36,Approved
1279,1357,11996.28,Personal,9.66,24,Rejected
1280,1358,22635.03,Personal,1.57,48,Approved
1281,1359,37666.82,Mortgage,8.86,48,Rejected
1282,1360,33276.15,Auto,1.78,60,Rejected
1283,1361,17049.15,Mortgage,6.88,36,Approved
1284,1362,4251.24,Auto,4.09,24,Approved
1285,1363,13395.07,Auto,1.9,60,Approved
1286,1364,11758.61,Auto,7.81,12,Closed
1287,1365,2031.63,Auto,7.29,60,Closed
1288,1366,48776.96,Mortgage,6.76,24,Rejected
1289,1368,41990.22,Personal,1.21,12,Approved
1290,1369,24758.22,Personal,4.91,48,Rejected
1291,1370,48642.25,Mortgage,6.06,60,Approved
1292,1371,8328.1,Auto,4.22,24,Approved
1293,1372,6422.98,Auto,7.03,36,Rejected
1294,1373,1120.68,Auto,9.09,60,Approved
1295,1374,36203.91,Mortgage,7.27,24,Rejected
1296,1375,16012.44,Personal,6.12,12,Approved
1297,1377,32056.44,Personal,1.99,60,Approved
1298,1378,29294.16,Auto,6.67,36,Rejected
1299,1379,24857.69,Auto,4.67,24,Closed
1300,1380,13650.51,Personal,3.87,24,Rejected
1301,1381,4169.74,Mortgage,5.56,48,Approved
1302,1382,22734.83,Auto,8.24,48,Approved
1303,1383,5856.86,Mortgage,4.71,24,Rejected
1304,1384,45380.83,Auto,7.32,60,Rejected
1305,1385,41637.13,Auto,6.3,12,Closed
1306,1386,31368.3,Auto,9.25,48,Closed
1307,1387,23169.54,Auto,5,48,Closed
1308,1388,23255.57,Mortgage,8.38,12,Rejected
1309,1389,23761.24,Mortgage,8.58,36,Rejected
1310,1390,37527.69,Personal,5.18,60,Rejected
1311,1391,7184.05,Mortgage,5.4,48,Rejected
1312,1392,27033.49,Mortgage,4,36,Rejected
1313,1393,40820.67,Personal,5.46,24,Approved
1314,1394,25996.17,Personal,3.24,48,Approved
1315,1395,1673.32,Auto,8.72,12,Approved
1316,1396,12989.84,Personal,3.25,24,Closed
1317,1398,46775.78,Personal,9.06,60,Rejected
1318,1399,44793.66,Auto,5.79,36,Approved
1319,1400,41312.54,Mortgage,1.95,60,Rejected
1320,1401,47558.04,Auto,4.11,24,Approved
1321,1402,14715.97,Mortgage,7.35,60,Closed
1322,1403,1607.49,Personal,4.65,12,Rejected
1323,1404,18364.36,Personal,4.81,48,Rejected
1324,1405,29273.54,Personal,5.49,12,Approved
1325,1406,16506.83,Personal,3,24,Approved
1326,1407,3165.98,Personal,4.82,60,Closed
1327,1408,25852.16,Mortgage,2.94,36,Rejected
1328,1409,10785.12,Auto,4.16,36,Approved
1329,1410,36650.99,Auto,5.79,24,Approved
1330,1411,5370.88,Auto,7.24,48,Rejected
1331,1412,47948.16,Auto,6.71,60,Closed
1332,1413,43957.34,Personal,6.18,12,Rejected
1333,1414,43818.85,Auto,6.36,12,Rejected
1334,1415,39704.64,Auto,5.6,36,Closed
1335,1416,32045.88,Mortgage,6.53,12,Rejected
1336,1418,33458.87,Personal,9.1,24,Approved
1337,1420,7410.18,Personal,9.43,12,Closed
1338,1421,31172.05,Auto,4.64,24,Closed
1339,1422,24464.51,Auto,4.55,60,Approved
1340,1423,24149.64,Personal,9.69,24,Closed
1341,1425,37232.47,Personal,5.67,24,Rejected
1342,1426,46331.11,Mortgage,7.47,48,Rejected
1343,1427,39602.36,Mortgage,4.57,36,Closed
1344,1428,19082.58,Auto,7.83,60,Closed
1345,1429,49224.69,Mortgage,2.89,60,Closed
1346,1430,18844.34,Personal,9.56,48,Approved
1347,1431,12486.77,Mortgage,5.15,24,Approved
1348,1432,48436.15,Auto,1.84,60,Rejected
1349,1433,39701.01,Auto,8.61,36,Rejected
1350,1434,38300.96,Personal,9.05,12,Closed
1351,1435,4794.17,Mortgage,7.57,60,Closed
1352,1436,10409.16,Mortgage,6.67,48,Closed
1353,1437,1907.38,Personal,9.36,48,Approved
1354,1438,39055.81,Personal,6.6,36,Rejected
1355,1439,14633.91,Personal,8.12,48,Rejected
1356,1440,7478.97,Auto,5.24,24,Approved
1357,1441,9912.67,Auto,7.54,60,Closed
1358,1442,32415.47,Personal,9.99,60,Closed
1359,1443,22219.48,Mortgage,4.44,60,Closed
1360,1444,47128.42,Personal,7.48,24,Rejected
1361,1446,41859.84,Personal,6.72,60,Closed
1362,1447,27776.79,Personal,3.91,60,Approved
1363,1448,35562.03,Auto,8.8,48,Closed
1364,1449,9264.38,Auto,4.24,12,Approved
1365,1450,37700.24,Mortgage,5.01,24,Rejected
1366,1451,5197.11,Auto,9.82,48,Rejected
1367,1452,34864.95,Personal,2.94,60,Rejected
1368,1453,23810.36,Personal,6.08,60,Rejected
1369,1454,12197.78,Personal,8.77,60,Closed
1370,1455,24538.97,Mortgage,3.83,12,Rejected
1371,1456,42928.23,Auto,1.14,24,Approved
1372,1457,8581.24,Personal,9.07,60,Closed
1373,1458,9311.69,Personal,6.58,48,Closed
1374,1459,27165.87,Personal,3.07,36,Closed
1375,1460,31637.47,Mortgage,3.49,36,Closed
1376,1461,21589.79,Auto,8.2,12,Approved
1377,1462,14053.24,Mortgage,6.78,24,Rejected
1378,1463,4292.41,Auto,7.59,24,Approved
1379,1464,3439.86,Personal,6.2,12,Closed
1380,1465,3000.19,Mortgage,8.11,36,Approved
1381,1466,45162.87,Mortgage,8.39,36,Approved
1382,1467,7436.5,Mortgage,4.48,60,Closed
1383,1468,15461.05,Auto,9.11,48,Approved
1384,1469,49308.72,Mortgage,5.55,60,Closed
1385,1470,46446.26,Mortgage,2.44,24,Rejected
1386,1471,3100.23,Personal,2.97,60,Rejected
1387,1472,28011.92,Mortgage,7.6,24,Closed
1388,1473,32041.43,Personal,4.4,60,Approved
1389,1474,3651.59,Personal,3.36,48,Approved
1390,1475,36678.18,Mortgage,6.44,60,Closed
1391,1476,49405.63,Personal,8.04,60,Closed
1392,1477,22039.6,Auto,1.98,60,Closed
1393,1478,23021.46,Auto,5.04,24,Rejected
1394,1479,33308,Auto,7.94,60,Closed
1395,1480,37090.56,Personal,9.13,36,Approved
1396,1481,39698.84,Auto,1.12,36,Closed
1397,1482,4801.41,Auto,6.9,48,Closed
1398,1483,40233.76,Personal,6.38,12,Approved
1399,1484,43339.62,Mortgage,5.66,60,Approved
1400,1485,3216.13,Personal,2.44,60,Approved
1401,1486,2917.61,Personal,7.68,24,Closed
1402,1487,27993.63,Mortgage,4.54,12,Rejected
1403,1488,25343.52,Auto,3.11,12,Closed
1404,1489,49024.74,Auto,8.65,60,Rejected
1405,1491,29919.8,Auto,2.79,60,Closed
1406,1492,25826.99,Personal,3.81,12,Approved
1407,1493,27250.93,Personal,2.63,36,Approved
1408,1494,33323.75,Auto,8,24,Closed
1409,1495,27342.15,Personal,2.64,36,Approved
1410,1496,1340.28,Auto,7.45,60,Closed
1411,1497,42341.8,Mortgage,2.46,12,Approved
1412,1498,10856.57,Personal,3.04,36,Closed
1413,1499,12326.58,Auto,4.08,12,Closed
1414,1500,32750.67,Mortgage,9.55,60,Closed
1415,1502,29149.52,Mortgage,1.77,12,Closed
1416,1503,25377.45,Personal,4.02,48,Approved
1417,1504,21475.27,Auto,4.12,36,Approved
1418,1505,24681.82,Mortgage,2.9,24,Approved
1419,1506,7913.19,Mortgage,4.92,12,Closed
1420,1507,48495.98,Mortgage,7.73,60,Closed
1421,1508,29162.84,Auto,1.89,60,Approved
1422,1509,15054.03,Personal,7.04,36,Closed
1423,1510,35929.17,Auto,3.35,60,Approved
1424,1511,44125.2,Mortgage,6.78,48,Approved
1425,1512,15526.92,Mortgage,7.14,24,Approved
1426,1513,16901.07,Mortgage,7.55,36,Rejected
1427,1514,22488.89,Auto,8.76,36,Approved
1428,1515,11647.2,Mortgage,9.1,60,Closed
1429,1516,40679.63,Personal,7.83,12,Approved
1430,1517,29624.66,Personal,5.33,60,Rejected
1431,1518,3795.18,Auto,1.4,12,Rejected
1432,1519,49838.5,Personal,9.43,60,Rejected
1433,1521,44606.88,Auto,5.81,12,Closed
1434,1522,25579.29,Mortgage,3.16,48,Rejected
1435,1523,29540.03,Auto,7.16,48,Approved
1436,1524,23269.29,Mortgage,9.95,48,Closed
1437,1525,21715.28,Personal,3.97,60,Approved
1438,1526,11696.92,Personal,8.2,24,Rejected
1439,1527,48144.09,Mortgage,3.62,48,Closed
1440,1528,9906.79,Mortgage,5.39,36,Closed
1441,1529,26793.81,Personal,2.92,24,Closed
1442,1530,5267.75,Auto,5.62,36,Rejected
1443,1531,49675.47,Mortgage,5.13,48,Closed
1444,1532,28228.14,Mortgage,1.35,36,Closed
1445,1533,40914.58,Mortgage,4.44,60,Closed
1446,1534,28583.51,Auto,1.56,36,Approved
1447,1535,40444.28,Auto,5.06,24,Closed
1448,1536,27186.09,Mortgage,9.82,48,Approved
1449,1537,22803.74,Personal,3.64,36,Closed
1450,1538,23339.38,Auto,5.64,36,Closed
1451,1539,1114.83,Mortgage,2.17,36,Approved
1452,1541,47645.26,Personal,4.2,24,Approved
1453,1542,34103.27,Auto,5.41,12,Rejected
1454,1543,46046.63,Personal,7.31,60,Approved
1455,1544,10812.87,Auto,5.11,48,Rejected
1456,1545,25066.85,Mortgage,1.22,12,Closed
1457,1546,2689.61,Mortgage,3.44,60,Approved
1458,1547,34175.56,Mortgage,1.22,36,Rejected
1459,1548,39416.8,Personal,9.26,12,Approved
1460,1549,37642.27,Personal,1.26,60,Approved
1461,1550,5251.73,Auto,1.45,60,Approved
1462,1551,13128.86,Mortgage,3.68,12,Rejected
1463,1552,33135.54,Auto,6.69,36,Rejected
1464,1553,38190.56,Personal,4.22,36,Rejected
1465,1554,14436.32,Mortgage,1.55,48,Closed
1466,1555,20905.81,Auto,8.53,60,Approved
1467,1557,1223.68,Auto,4.57,36,Rejected
1468,1558,29249.14,Auto,7.09,60,Closed
1469,1559,33786.53,Personal,3.47,48,Rejected
1470,1560,14545.35,Personal,5.75,48,Closed
1471,1561,34701.44,Auto,8.92,48,Approved
1472,1562,12894.69,Personal,1.97,60,Approved
1473,1563,36060.99,Mortgage,8.62,24,Approved
1474,1564,23402.18,Mortgage,8.1,24,Approved
1475,1565,43724.81,Auto,9.54,36,Rejected
1476,1566,27691.99,Mortgage,5.62,60,Approved
1477,1567,10047.99,Mortgage,3.47,60,Closed
1478,1568,41278.55,Auto,4.18,12,Approved
1479,1569,39106.25,Personal,6.76,48,Closed
1480,1570,5127.18,Auto,2.27,36,Closed
1481,1571,3353.99,Auto,4.17,60,Rejected
1482,1572,7678.26,Personal,7.54,12,Rejected
1483,1573,42420.44,Personal,6.16,12,Closed
1484,1574,16698.75,Personal,1.56,60,Rejected
1485,1575,25732.82,Mortgage,5.47,36,Rejected
1486,1576,30545.35,Personal,5.72,36,Rejected
1487,1577,37430.59,Mortgage,7.31,24,Rejected
1488,1578,41667.81,Personal,1.1,24,Approved
1489,1579,26277.41,Auto,4.86,36,Approved
1490,1580,21372.22,Personal,8.98,12,Closed
1491,1581,10601.15,Auto,1.23,24,Closed
1492,1582,30768.5,Auto,7.05,12,Closed
1493,1583,27943.98,Personal,3.01,24,Rejected
1494,1584,15266.86,Mortgage,4.49,12,Approved
1495,1585,22863.97,Mortgage,8.96,48,Closed
1496,1586,37242.9,Mortgage,4.26,60,Approved
1497,1587,31726.92,Auto,5.91,36,Closed
1498,1589,14343.51,Auto,3.92,36,Approved
1499,1590,33732.21,Personal,2.27,12,Closed
1500,1591,31755.24,Mortgage,6.05,24,Approved
1501,1592,23453.44,Personal,5.14,24,Approved
1502,1593,12687.68,Personal,3.38,24,Rejected
1503,1594,9568.95,Auto,10,60,Approved
1504,1595,17630.58,Auto,2.38,60,Rejected
1505,1596,45527.03,Auto,8.43,36,Approved
1506,1597,37940.44,Auto,1.32,24,Rejected
1507,1598,44662.42,Mortgage,8.62,48,Approved
1508,1599,42287.35,Auto,5.29,36,Closed
1509,1600,23485.25,Personal,8.45,60,Rejected
1510,1601,26991.68,Mortgage,7.72,60,Approved
1511,1602,9309.72,Mortgage,6.15,24,Rejected
1512,1603,36322.74,Mortgage,4.34,60,Rejected
1513,1604,21675.49,Mortgage,6.99,12,Rejected
1514,1605,8902.18,Auto,8.49,60,Closed
1515,1606,5672.39,Mortgage,5.53,24,Approved
1516,1607,35110.61,Mortgage,4.73,36,Closed
1517,1609,1440.77,Auto,9.07,48,Approved
1518,1610,41401.26,Auto,3.41,48,Rejected
1519,1611,31353.65,Mortgage,2.11,12,Approved
1520,1612,2880.44,Mortgage,1.6,36,Rejected
1521,1613,15929.56,Personal,7.76,12,Closed
1522,1615,3892.46,Personal,2.08,24,Rejected
1523,1616,37076.38,Personal,5.77,24,Approved
1524,1617,25739.87,Mortgage,2.37,24,Closed
1525,1619,42906.61,Auto,8.05,60,Closed
1526,1621,4825.67,Personal,1.25,24,Approved
1527,1622,23558.3,Auto,2.74,36,Approved
1528,1623,16618.04,Auto,4.6,12,Approved
1529,1624,25916.13,Personal,3.18,60,Closed
1530,1625,48324.29,Auto,7.5,48,Rejected
1531,1627,43414.32,Mortgage,3.16,60,Closed
1532,1628,49551.8,Personal,3.42,36,Closed
1533,1629,49511.08,Auto,6.04,12,Rejected
1534,1630,40037.78,Mortgage,7.77,24,Closed
1535,1631,23813.44,Mortgage,9.63,12,Approved
1536,1632,9722.03,Auto,3.7,36,Approved
1537,1633,30802.44,Auto,9.2,48,Approved
1538,1634,30908.26,Personal,2.64,36,Approved
1539,1635,16505.29,Personal,1.37,48,Approved
1540,1636,31224.29,Mortgage,8.13,48,Closed
1541,1638,32066.41,Auto,1.69,36,Approved
1542,1639,44939.4,Personal,1.64,48,Approved
1543,1640,24131.2,Mortgage,1.12,36,Approved
1544,1641,38463.59,Auto,3.76,60,Rejected
1545,1642,32146.39,Personal,7.62,48,Closed
1546,1643,1150.14,Mortgage,6.99,48,Closed
1547,1644,6977.92,Auto,10,36,Approved
1548,1645,38966.93,Auto,6.35,12,Rejected
1549,1646,2982.19,Mortgage,1.99,60,Rejected
1550,1647,47856.14,Mortgage,9.81,36,Rejected
1551,1648,44809.73,Personal,7.24,24,Approved
1552,1649,18756.37,Mortgage,4.37,60,Rejected
1553,1650,16208.81,Mortgage,3.22,24,Rejected
1554,1651,31033.66,Mortgage,3,60,Approved
1555,1652,30977.84,Personal,9.61,48,Approved
1556,1653,5362.63,Auto,4.77,60,Rejected
1557,1654,11553.9,Mortgage,5.38,36,Closed
1558,1655,32186.86,Personal,8.53,24,Approved
1559,1656,40237.76,Personal,9.67,12,Closed
1560,1657,10408.12,Auto,1.04,24,Closed
1561,1659,43653.29,Auto,1.68,48,Approved
1562,1660,6772.45,Mortgage,8.53,12,Closed
1563,1661,22516.07,Auto,9.55,60,Approved
1564,1662,42677.22,Personal,6.05,60,Approved
1565,1663,19160.72,Auto,5.97,48,Closed
1566,1664,14203.41,Mortgage,7.02,12,Rejected
1567,1665,37535.12,Auto,4.18,48,Rejected
1568,1666,20638.12,Auto,2.49,24,Approved
1569,1667,35609.28,Auto,1.6,60,Closed
1570,1668,7193.17,Mortgage,8.93,24,Closed
1571,1669,28122.03,Personal,5.93,24,Rejected
1572,1670,19593.58,Personal,7.25,36,Closed
1573,1671,49867.95,Mortgage,3.99,60,Approved
1574,1672,29978.18,Personal,8.26,48,Approved
1575,1673,34426.1,Auto,4.15,48,Closed
1576,1674,7420.72,Auto,1.27,24,Rejected
1577,1675,49606.49,Personal,4.03,12,Closed
1578,1676,3518.82,Auto,8.65,36,Approved
1579,1677,4471,Mortgage,8.88,36,Approved
1580,1678,4711.03,Auto,9.41,24,Approved
1581,1679,43659.43,Mortgage,5.5,36,Rejected
1582,1680,36700.88,Auto,9.61,36,Approved
1583,1681,48679.59,Personal,5.49,24,Approved
1584,1682,4261.46,Personal,2.39,48,Closed
1585,1683,34892.11,Auto,5.52,24,Closed
1586,1684,27130.19,Mortgage,8.82,24,Rejected
1587,1685,32317.67,Mortgage,8.07,60,Rejected
1588,1686,26132.9,Mortgage,4.91,48,Closed
1589,1687,34092,Mortgage,2.91,24,Approved
1590,1689,29786.22,Mortgage,9.38,36,Approved
1591,1690,44924.38,Mortgage,2.6,12,Closed
1592,1691,39325.95,Personal,8.44,48,Approved
1593,1692,43381.28,Personal,2.33,60,Closed
1594,1693,33303.29,Personal,9.28,48,Rejected
1595,1694,26411.68,Personal,7.24,60,Approved
1596,1695,4408.16,Auto,1.98,36,Closed
1597,1696,41910.22,Mortgage,2.82,36,Approved
1598,1697,12858.53,Personal,9.34,12,Closed
1599,1698,2796.39,Mortgage,5.57,36,Approved
1600,1699,26434.49,Mortgage,5.08,36,Rejected
1601,1700,31993.27,Mortgage,1.52,12,Rejected
1602,1701,33429.74,Mortgage,1.76,48,Closed
1603,1702,33816.07,Auto,7.22,36,Closed
1604,1703,33032.4,Mortgage,7.99,48,Rejected
1605,1704,40601.41,Personal,8.8,12,Closed
1606,1705,38698.72,Personal,5.53,24,Rejected
1607,1706,40828.87,Auto,3.96,36,Approved
1608,1707,23552.84,Auto,6.63,48,Rejected
1609,1708,4078.12,Mortgage,6.57,60,Approved
1610,1709,32339.24,Auto,1.31,60,Closed
1611,1710,11300.52,Auto,9.45,24,Rejected
1612,1711,43116.56,Personal,6.78,36,Approved
1613,1713,38527.62,Personal,9.64,36,Approved
1614,1714,15034.69,Personal,9.57,60,Closed
1615,1715,32019.65,Personal,9.51,24,Closed
1616,1716,26876.11,Mortgage,9,60,Rejected
1617,1717,14154.14,Personal,2.66,36,Approved
1618,1718,40799.06,Auto,9.79,24,Closed
1619,1719,27947.96,Auto,7.86,60,Approved
1620,1720,10348.62,Personal,6.77,36,Closed
1621,1721,15957.11,Personal,9.48,24,Approved
1622,1722,12128.27,Personal,4.43,24,Approved
1623,1723,16307.6,Personal,9.38,12,Approved
1624,1724,10220.29,Personal,6.45,24,Approved
1625,1725,19185.81,Auto,6.21,12,Closed
1626,1726,35005.18,Mortgage,6.81,36,Approved
1627,1727,48005.67,Personal,7.79,12,Approved
1628,1728,11316.27,Personal,5,36,Rejected
1629,1729,15691.65,Mortgage,9.83,36,Closed
1630,1730,1105.52,Personal,1.8,48,Rejected
1631,1731,12039.93,Auto,9.22,12,Rejected
1632,1732,21504.14,Auto,6.92,24,Approved
1633,1733,23625.13,Mortgage,9.19,24,Rejected
1634,1734,14050.24,Personal,4.32,36,Approved
1635,1735,8365.83,Personal,8.46,12,Rejected
1636,1736,28590.42,Auto,6.54,60,Closed
1637,1737,21050.27,Auto,8.48,24,Closed
1638,1738,21887.03,Personal,3.93,60,Rejected
1639,1739,44854.05,Personal,9.26,12,Rejected
1640,1740,28510.7,Personal,9.32,24,Closed
1641,1741,20028.63,Personal,5.27,60,Approved
1642,1742,13435.7,Personal,4.6,24,Rejected
1643,1743,22001.29,Auto,6.18,48,Approved
1644,1745,48289.9,Auto,5.47,36,Approved
1645,1746,19484.31,Auto,9.07,12,Closed
1646,1747,11240.12,Mortgage,4.29,24,Closed
1647,1748,45811.46,Auto,7.62,60,Rejected
1648,1749,8077.41,Personal,6.61,24,Rejected
1649,1750,15571.88,Auto,3.35,24,Closed
1650,1751,11003.15,Auto,5.79,60,Approved
1651,1752,28725.65,Auto,8.67,60,Rejected
1652,1753,21023.42,Mortgage,5.99,48,Rejected
1653,1754,15071.15,Auto,7.27,36,Closed
1654,1755,38628.48,Auto,7.98,60,Rejected
1655,1756,33541.72,Personal,1.44,24,Rejected
1656,1757,49780.06,Personal,1.46,48,Rejected
1657,1758,16287.42,Personal,2.03,12,Approved
1658,1759,42418.77,Personal,2.47,48,Closed
1659,1760,15822.87,Mortgage,8.3,48,Approved
1660,1761,1442.83,Auto,4.92,48,Closed
1661,1762,8393.99,Mortgage,2.67,24,Approved
1662,1763,25915.06,Auto,5.79,60,Rejected
1663,1765,3813.22,Auto,2.26,12,Approved
1664,1766,41768.72,Auto,4.1,36,Closed
1665,1767,36087.65,Auto,2.75,24,Rejected
1666,1770,4705.87,Personal,8.03,12,Rejected
1667,1771,34270.66,Mortgage,2.87,48,Rejected
1668,1773,18584.06,Mortgage,9.2,60,Approved
1669,1774,5327.27,Personal,4,36,Rejected
1670,1775,20256.09,Personal,5.52,12,Closed
1671,1776,34426.48,Personal,1.91,60,Closed
1672,1777,5577.17,Mortgage,5.32,60,Approved
1673,1778,42972.66,Mortgage,3,60,Closed
1674,1779,4082.52,Personal,8.56,36,Rejected
1675,1780,30801.49,Auto,7.42,24,Closed
1676,1781,10268.24,Auto,6.97,36,Rejected
1677,1782,5490.34,Personal,8.03,36,Closed
1678,1783,18393.61,Auto,3.64,24,Approved
1679,1784,33679.47,Mortgage,5.08,60,Closed
1680,1785,6931.59,Personal,1.78,36,Approved
1681,1786,24309.17,Mortgage,1.61,48,Closed
1682,1787,20899.25,Auto,3.96,60,Approved
1683,1788,21945.26,Personal,8.4,60,Closed
1684,1789,47227.42,Auto,6.38,60,Rejected
1685,1790,18102.47,Mortgage,4.82,36,Closed
1686,1791,49589.82,Personal,9.7,12,Closed
1687,1792,27381.17,Mortgage,4.98,12,Closed
1688,1793,42281.56,Mortgage,5.22,24,Rejected
1689,1794,18094.35,Mortgage,9.93,12,Rejected
1690,1795,5153.92,Mortgage,2.18,60,Approved
1691,1796,5135.78,Personal,3.3,48,Closed
1692,1797,29133.32,Auto,5.08,48,Rejected
1693,1798,46565.87,Auto,6.14,60,Approved
1694,1799,4489.82,Mortgage,2.33,36,Closed
1695,1800,34766.75,Mortgage,3.96,36,Rejected
1696,1801,28599.3,Mortgage,2.98,60,Rejected
1697,1802,32960.28,Auto,8.65,60,Closed
1698,1803,11561.51,Personal,8.51,24,Rejected
1699,1804,4454.92,Auto,3.16,36,Approved
1700,1805,4661.68,Auto,4.91,12,Approved
1701,1807,11468.32,Mortgage,1.43,36,Rejected
1702,1808,7191.52,Personal,8.95,48,Rejected
1703,1809,13969.47,Mortgage,5.6,60,Approved
1704,1810,27164.71,Mortgage,3.04,24,Approved
1705,1811,47526.18,Mortgage,4.57,24,Rejected
1706,1812,46191.17,Auto,9.12,24,Approved
1707,1814,4244.28,Personal,2.29,48,Approved
1708,1815,49786.05,Auto,2.73,48,Rejected
1709,1817,48936.75,Mortgage,3.03,60,Closed
1710,1818,27344.46,Personal,8.35,60,Rejected
1711,1819,44431.68,Auto,5.74,60,Approved
1712,1820,22913.81,Auto,6.45,24,Closed
1713,1821,31479.13,Mortgage,2.4,60,Approved
1714,1822,27251.28,Mortgage,3.5,36,Closed
1715,1823,11773.99,Personal,9.26,24,Closed
1716,1824,38426.12,Personal,2.89,48,Approved
1717,1825,3685.47,Personal,9.16,12,Rejected
1718,1826,18758.18,Mortgage,6.97,36,Closed
